jobClass,jobCompany,jobMoney,jobName,jobNeed,jobPlace,jobSpesk,jobType,jobUrl
C,广州洲聚,18k-24k,c/c++开发工程师,经验3-5年 / 本科,元岗,"“扁平化管理,年底双薪,下午茶,大牛团队”",移动互联网 / 未融资,
C,湖南红手指,10k-18k,C/C++工程师,经验3-5年 / 大专,瑞宝,"“年底双薪,绩效奖金,福利好”",移动互联网 / A轮,
C,亦云,20k-30k,高级C工程师,经验5-10年 / 本科,新港,“奖项激励多，晋升空间大，技术氛围好”,数据服务 / 上市公司,
C,蓝盾信息安全技术股份有限公司,10k-20k,c/c++研发,经验1-3年 / 大专,棠下,“双休、晋升快，年终奖、包餐”,信息安全 / 上市公司,
C,荔枝,10k-20k,C/C++开发工程师,经验3-5年 / 大专,广州,“技术牛人多，高并发，绩效奖金高！”,移动互联网 / D轮及以上,
C,嘉米游戏,15K-20K,c/c++ 服务端开发主程,经验3-5年 / 大专,天河城,"“五险一金,按月提成,绩效奖金,年度旅游”","移动互联网,游戏 / 不需要融资",
C,颉一软件,15k-20k,C语言开发工程师,经验3-5年 / 不限,东圃,"“发展空间大,工作氛围好,全员持股,提升个人能”","信息安全,数据服务 / A轮",
C,神州信息,9k-18k,C语言工程师,经验3-5年 / 大专,大石,“5险一金”,"移动互联网,企业服务 / 上市公司",
C,蓝鸽集团,8k-15k,C/C++软件工程师,经验不限 / 本科,太和,"“五险一金,免费住宿,免费班车,弹性时间”","移动互联网,企业服务 / 不需要融资",
C,玄武科技,10k-20k,C/C++开发工程师,经验3-5年 / 本科,天河城,"“上司公司,云通信,语音视频,年终奖”","移动互联网,招聘 / 上市公司",
C,云趣科技,8k-15k,C/C++开发工程师,经验1-3年 / 本科,棠下,"“五险一金,带薪年假,免费工作餐,周末双休”","移动互联网,数据服务 / 不需要融资",
C,沐融科技,8K-15K,C/C++中级开发工程师（银行软件）广州,经验1-3年 / 本科,天河区,"“福利待遇好,个人发展好”","移动互联网,金融 / C轮",
C,科融智能,5k-10k,C/C++开发工程师,经验3-5年 / 本科,萝岗区,"“年底双薪,法定假期,购买社保,专业培训”",其他 / 天使轮,
C,昊恒科技,7k-14k,C/C++开发工程师,经验1-3年 / 不限,岭南,"“团队愉快,福利优厚,领导好”","移动互联网,信息安全 / 不需要融资",
C,锦行网络科技,6k-12k,C/C++开发工程师,经验1-3年 / 大专,建设,"“五险一金,周末双休,年终奖励,年度体检”","信息安全,企业服务 / 未融资",
搜索算法,广州棒谷科技股份有限公司,15k-25k,推荐/搜索算法工程师,经验3-5年 / 硕士,白云大道,"“海量数据,商业运营”",电子商务 / 不需要融资,
搜索算法,腾讯,20k-40k,WXG01-微信搜索算法高级工程师（广州）,经验3-5年 / 硕士,新港,“微信大平台”,"移动互联网 ,游戏 / 上市公司",
精准推荐,广州棒谷科技股份有限公司,15k-25k,推荐/搜索算法工程师,经验3-5年 / 硕士,白云大道,"“海量数据,商业运营”",电子商务 / 不需要融资,
精准推荐,航仕科技,30k-50k,推荐算法工程师/推荐算法专家,经验3-5年 / 本科,东圃,"“BAT大牛,加班少,保底18月,福利超好”","移动互联网,O2O / C轮",
精准推荐,久邦GOMO,20k-40k,推荐算法工程师,经验3-5年 / 本科,大新,"“新项目,机会多,团队年轻”",移动互联网 / 上市公司,
精准推荐,ZAKER,15k-25k,推荐算法工程师,经验3-5年 / 本科,五山,“福利待遇高，发展前景好”,移动互联网 / C轮,
精准推荐,Bigo,20k-40k,推荐算法工程师,经验3-5年 / 本科,大石,"“牛人多,平台大,福利好,国际业务”","移动互联网,社交网络 / C轮",
精准推荐,奥普斯,15k-30k,推荐算法工程师,经验3-5年 / 大专,天河区,"“项目好,福利好”","移动互联网,电子商务 / 不需要融资",
精准推荐,网易游戏,20k-30k,推荐算法工程师,经验不限 / 本科,棠下,"“平台好,年终奖,奖金”",游戏 / 上市公司,
精准推荐,YY Inc,30K-60K,高级推荐算法工程师,经验5-10年 / 本科,番禺区,“专家级”,移动互联网 / 上市公司,
精准推荐,盟讯科技,15k-25k,推荐算法工程师,经验1-3年 / 本科,大石,"“应用数学,人工智能,统计运筹,java”","移动互联网,其他 / 未融资",
精准推荐,西安团创网络科技有限公司,15k-28k,游戏推荐算法,经验1-3年 / 本科,太和,“年薪16薪”,"游戏,移动互联网 / 未融资",
精准推荐,荔枝,15k-30k,数据挖掘工程师（推荐方向）,经验3-5年 / 本科,棠下,“亿级用户产品，技术大牛多，福利超棒！”,移动互联网 / D轮及以上,
精准推荐,腾讯,20k-40k,WXG04-122 微信游戏推荐系统算法工程师,经验3-5年 / 硕士,新港,“微信大平台”,"移动互联网 ,游戏 / 上市公司",
精准推荐,唯品会,25k-40k,C++后台开发工程师（实时推荐系统方向）,经验5-10年 / 本科,广州,“免费三餐 有竞争力薪酬”,电子商务 / 上市公司,
