整租 | 《海伦春天》人人都喜欢风格 有家的感觉 干净整洁明亮,2200元/月,海伦春天,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tE1k-wTzcBHIfX-rwhq7azCcgT9WSjAhmNCiqTFU8UTwcsvt1U-sqI4nhL2WHrTnZuKQqZu_fYqKLJd6HOrOZj32bQFBJxIZMOkUyGyD1TweOpeB-UK1L3QS9Rxa3utTEVFBMxon2YvDdyukPmMkDu62eFWvNPmTtZSggo8_utyfyOL46dYK_qEFT-1iM0Ga7-xWLwbW17c2BnSDbwK5_V16oj08mTC5as&local=3&pubid=28285198&apptype=0&psid=190413716199281110361427348&entinfo=33275061741233_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
单间 | 昌岗中路149号大院 蛋壳公寓直租 家具齐全 随时看,2200元/月,昌岗中路149号大院,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkf2ayqH_E_R9RLX94M3jVfo3lMQvFx_s7HJ6ygCrxVRQMf-5NvxKrSqhoxf-5-FgUnU4euQO08oaxlFAWS94umyqVfOEjN7kkKL5EgZP_B2z2bQFBJxIZMOkUyGyD1TweN3RaKjcjYRkArLm3uK5f2Ol2XwIndtRCGgKQ0eYVkaR_GGRNvaJU8EAay4HVAQQiUl5A6UFjXZ2KtzPhO3qjrinQ4q_ZPMmZAYNef2U7aPeA&local=3&pubid=28111087&apptype=0&psid=190413716199281110361427348&entinfo=33267546273733_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
单间 | 华保花园 环境优美 押一付一 双周保洁 免费宽带,2200元/月,华保花园,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkf2ayqH_E_R9RLX94M3jVfo-8s6trn-tKTz85TqvqXEpsf-5NvxKrSqhoxf-5-FgUmG6yfeQIt75u2z8ihUE6YheaxeIeD7J7DJd6HOrOZj32bQFBJxIZMOkUyGyD1TweN3RaKjcjYRkP3AJfj13M5trumnTkOZpmmgKQ0eYVkaR_GGRNvaJU8EJZ4Pal9Hd1Il5A6UFjXZ2KtzPhO3qjrinQ4q_ZPMmZAYNef2U7aPeA&local=3&pubid=28354361&apptype=0&psid=190413716199281110361427348&entinfo=33322504080429_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 电梯精装公寓 近地铁 天河上班优选 英伦工业风 即租,2200元/月,成龙花园,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tEe6tkYpLz12urs-byIKkL1MgT9WSjAhmNyJvseErCvB3ZlF2AACQeOnhL2WHrTnZu06aLzSluhnKLpHwm0RlWlocAMCALJ1RVFsR2ZKVm1-WLIrtUgl9F47RL2AUSQ9uEzT47nN2kOZVIJ057leLrdqDMybbOabIFtVsJclUDY9aCCTzo_2_RRfj72RQY6T83Sb-Woj85FQvI3_fFKXSWLA&local=3&pubid=28162655&apptype=0&psid=190413716199281110361427348&entinfo=32401152083889_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 冠寓机场路店 2号线 交通发达 出现便利 全新装修新,2200元/月,环翠园小区,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tE-ldI_vDAYxvk0CdYQa1ZAMgT9WSjAhmNb_kA3TFCj2---CEA2NTYCXhL2WHrTnZuZnJGpXTzepWLpHwm0RlWlocAMCALJ1RVFsR2ZKVm1-WLIrtUgl9F410KX_kwvhCM-QomxQsRifxIJ057leLrdqDMybbOabIFMze4CFzSEZGCCTzo_2_RRfj72RQY6T83Sb-Woj85FQvI3_fFKXSWLA&local=3&pubid=28373551&apptype=0&psid=190413716199281110361427348&entinfo=32679109773520_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 棠东东景尚寓 全新公寓 1房1厅 业主直租,2200元/月,毓南路12号小区,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tEeeylRNGNFQsjr50GOGBGMMgT9WSjAhmNz9R9tEu4CJeoC71pbQXvzHhL2WHrTnZuRwkM7ZNMJTOLpHwm0RlWlocAMCALJ1RVFsR2ZKVm1-WLIrtUgl9F417pWj0YdlLHp2nO1oPRVw9IJ057leLrdqDMybbOabIFDPWp8BH6PaiCCTzo_2_RRfj72RQY6T83Sb-Woj85FQvI3_fFKXSWLA&local=3&pubid=28288726&apptype=0&psid=190413716199281110361427348&entinfo=33265849131341_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 新里程精装南向三房出租 近地铁 安静不吵望泳池 家私,2200元/月,万科新里程,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tEpxPIWDh8yRSarZK7HIVMVcgT9WSjAhmNmo3LI9xC8qlGkwlEOI_5fHhL2WHrTnZuzQvzRPRLSDqLpHwm0RlWlocAMCALJ1RVFsR2ZKVm1-WLIrtUgl9F47MxZGmFONCX9LxgZiZbPx9IJ057leLrdqDMybbOabIFxDwAMxVlVliCCTzo_2_RRfj72RQY6T83Sb-Woj85FQvI3_fFKXSWLA&local=3&pubid=28332723&apptype=0&psid=190413716199281110361427348&entinfo=33312515636297_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 白云山脚下 云山居中层两房全新装修 可随时入住 门口,2200元/月,云山居,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tE7Vw2vV3QAiMbjqi7bAo3P8gT9WSjAhmNSN-XLlZ92xIZ7F5W2sUyn3hL2WHrTnZuhO9jY2xYwSl2soj8ifH95mbQFBJxIZMOkUyGyD1TweOpeB-UK1L3QVZbHHv_bheSHq6kfE6LcYByukPmMkDu62eFWvNPmTtZAHKr8igqkUaOL46dYK_qEFT-1iM0Ga7-xWLwbW17c2BnSDbwK5_V16oj08mTC5as&local=3&pubid=28333850&apptype=0&psid=190413716199281110361427348&entinfo=33319550160437_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 奥园养生广场 2房1厅 精装修 出门方便 近地铁 拎,2200元/月,奥园养生广场,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tE8KQpLN6LUQV39bHlvkws6sgT9WSjAhmNCKvNreTmGDnJFEZ7rqIMo3hL2WHrTnZu881ThfFqptuLpHwm0RlWlocAMCALJ1RVFsR2ZKVm1-WLIrtUgl9F45RxlRSi1t09Jht4WW0Icv9IJ057leLrdqDMybbOabIFbpo2MXyAtPWCCTzo_2_RRfj72RQY6T83Sb-Woj85FQvI3_fFKXSWLA&local=3&pubid=28383310&apptype=0&psid=190413716199281110361427348&entinfo=33330046031924_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 魔方公寓 临近机场路 三元里大道 远景路 万达广场,2200元/月,岗贝路32-1号商住楼,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tE9-wPnxt-i652xcnT5xncjMgT9WSjAhmN53lwMK-XCN22gKiIYqOBInhL2WHrTnZuCJYCv8DOlWCLpHwm0RlWlocAMCALJ1RVFsR2ZKVm1-WLIrtUgl9F4-n094rc3iaJMilk4pEWaDxIJ057leLrdqDMybbOabIFvxzfkfsGvLmCCTzo_2_RRfj72RQY6T83Sb-Woj85FQvI3_fFKXSWLA&local=3&pubid=27906070&apptype=0&psid=190413716199281110361427348&entinfo=33229826436142_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
